2theta,simulated,2theta,real copy,2theta,real
8.88,25.5154,6.2789,1367.763,6.2789,1367.763
8.9,29.2506,6.3009,1425.137,6.3009,1425.137
8.92,33.8626,6.3229,1466.637,6.3229,1466.637
8.94,39.6451,6.3449,1402.911,6.3449,1402.911
8.96,47.0244,6.3669,1380.301,6.3669,1380.301
8.98,56.6399,6.3889,1418.799,6.3889,1418.799
9.0,69.5045,6.4109,1420.74,6.4109,1420.74
9.02,87.3684,6.4329,1447.473,6.4329,1447.473
9.04,113.572,6.4549,1408.274,6.4549,1408.274
9.06,154.734,6.4769,1411.735,6.4769,1411.735
9.08,223.013,6.4989,1424.793,6.4989,1424.793
9.1,336.942,6.5209,1402.166,6.5209,1402.166
9.12,516.348,6.5429,1392.404,6.5429,1392.404
9.14,758.258,6.5649,1472.093,6.5649,1472.093
9.16,965.727,6.5869,1467.093,6.5869,1467.093
9.18,957.354,6.6089,1424.927,6.6089,1424.927
9.2,770.392,6.6309,1455.596,6.6309,1455.596
9.22,588.293,6.6529,1445.857,6.6529,1445.857
9.24,460.889,6.6749,1496.022,6.6749,1496.022
9.26,351.113,6.6969,1485.234,6.6969,1485.234
9.28,251.217,6.7189,1457.042,6.7189,1457.042
9.3,176.466,6.7409,1471.566,6.7409,1471.566
9.32,126.501,6.7629,1442.637,6.7629,1442.637
9.34,94.1224,6.7849,1523.407,6.7849,1523.407
9.36,72.901,6.8069,1543.104,6.8069,1543.104
9.38,58.4261,6.8289,1495.105,6.8289,1495.105
9.4,48.0435,6.8509,1542.659,6.8509,1542.659
9.42,40.2672,6.8729,1578.312,6.8729,1578.312
9.44,34.2576,6.8949,1545.569,6.8949,1545.569
9.46,29.5068,6.9169,1523.109,6.9169,1523.109
9.48,25.6833,6.9389,1482.34,6.9389,1482.34
9.5,22.5598,6.9609,1538.128,6.9609,1538.128
9.52,19.9747,6.9829,1563.667,6.9829,1563.667
9.54,17.8108,7.0049,1596.603,7.0049,1596.603
9.56,15.9811,7.0269,1584.941,7.0269,1584.941
9.58,14.4201,7.0489,1571.853,7.0489,1571.853
9.6,13.0774,7.0709,1525.345,7.0709,1525.345
9.62,11.9141,7.0929,1557.962,7.0929,1557.962
9.64,10.8997,7.1149,1604.319,7.1149,1604.319
9.66,10.0096,7.1369,1574.72,7.1369,1574.72
9.68,9.22436,7.1589,1597.035,7.1589,1597.035
9.7,8.52811,7.1809,1620.545,7.1809,1620.545
9.72,7.90788,7.2029,1626.603,7.2029,1626.603
9.74,7.35298,7.2249,1634.304,7.2249,1634.304
9.76,6.85453,7.2469,1609.092,7.2469,1609.092
9.78,6.40514,7.2689,1595.749,7.2689,1595.749
9.8,6.03517,7.2909,1616.847,7.2909,1616.847
9.82,11.9981,7.3129,1645.902,7.3129,1645.902
9.84,11.8426,7.3349,1731.776,7.3349,1731.776
9.86,11.7241,7.3569,1567.243,7.3569,1567.243
9.88,11.6397,7.3789,1666.9,7.3789,1666.9
9.9,11.5872,7.4009,1710.237,7.4009,1710.237
9.92,11.5645,7.4229,1728.333,7.4229,1728.333
9.94,11.57,7.4449,1620.189,7.4449,1620.189
9.96,17.0512,7.4669,1679.0,7.4669,1679.0
9.98,17.2631,7.4889,1679.06,7.4889,1679.06
10.0,17.5069,7.5109,1679.2,7.5109,1679.2
10.02,17.7824,7.5329,1669.425,7.5329,1669.425
10.04,18.0897,7.5549,1676.336,7.5549,1676.336
10.06,18.4292,7.5769,1693.395,7.5769,1693.395
10.08,18.8014,7.5989,1660.511,7.5989,1660.511
10.1,19.2071,7.6209,1684.947,7.6209,1684.947
10.12,19.6473,7.6429,1647.797,7.6429,1647.797
10.14,20.1232,7.6649,1727.172,7.6649,1727.172
10.16,20.6361,7.6869,1707.083,7.6869,1707.083
10.18,21.1879,7.7089,1769.046,7.7089,1769.046
10.2,21.7803,7.7309,1702.892,7.7309,1702.892
10.22,22.4156,7.7529,1721.752,7.7529,1721.752
10.24,23.0963,7.7749,1722.506,7.7749,1722.506
10.26,23.825,7.7969,1724.792,7.7969,1724.792
10.28,24.6051,7.8189,1667.755,7.8189,1667.755
10.3,25.4398,7.8409,1674.2,7.8409,1674.2
10.32,26.3332,7.8629,1691.767,7.8629,1691.767
10.34,27.2895,7.8849,1709.199,7.8849,1709.199
10.36,28.3137,7.9069,1737.192,7.9069,1737.192
10.38,29.4112,7.9289,1681.98,7.9289,1681.98
10.4,30.5882,7.9509,1773.097,7.9509,1773.097
10.42,31.8513,7.9729,1775.066,7.9729,1775.066
10.44,33.2084,7.9949,1778.276,7.9949,1778.276
10.46,34.6679,8.0169,1788.431,8.0169,1788.431
10.48,36.2397,8.0389,1749.181,8.0389,1749.181
10.5,37.9347,8.0609,1769.399,8.0609,1769.399
10.52,39.7653,8.0829,1752.292,8.0829,1752.292
10.54,41.7456,8.1049,1741.763,8.1049,1741.763
10.56,43.8915,8.1269,1766.184,8.1269,1766.184
10.58,46.2215,8.1489,1813.438,8.1489,1813.438
10.6,48.7565,8.1709,1827.298,8.1709,1827.298
10.62,51.5207,8.1929,1801.327,8.1929,1801.327
10.64,54.4873,8.2149,1796.956,8.2149,1796.956
10.66,56.975,8.2369,1828.389,8.2369,1828.389
10.68,60.6359,8.2589,1804.771,8.2589,1804.771
10.7,64.6672,8.2809,1765.858,8.2809,1765.858
10.72,68.9593,8.3029,1813.619,8.3029,1813.619
10.74,73.9013,8.3249,1868.867,8.3249,1868.867
10.76,79.4005,8.3469,1779.186,8.3469,1779.186
10.78,85.5448,8.3689,1772.733,8.3689,1772.733
10.8,92.4402,8.3909,1823.693,8.3909,1823.693
10.82,100.216,8.4129,1832.497,8.4129,1832.497
10.84,109.03,8.4349,1797.949,8.4349,1797.949
10.86,119.078,8.4569,1813.893,8.4569,1813.893
10.88,130.605,8.4789,1837.478,8.4789,1837.478
10.9,143.92,8.5009,1874.055,8.5009,1874.055
10.92,159.417,8.5229,1882.684,8.5229,1882.684
10.94,177.608,8.5449,1827.168,8.5449,1827.168
10.96,199.164,8.5669,1810.616,8.5669,1810.616
10.98,224.982,8.5889,1858.202,8.5889,1858.202
11.0,256.278,8.6109,1835.699,8.6109,1835.699
11.02,294.739,8.6329,1837.688,8.6329,1837.688
11.04,342.76,8.6549,1854.831,8.6549,1854.831
11.06,403.829,8.6769,1945.627,8.6769,1945.627
11.08,483.244,8.6989,1832.44,8.6989,1832.44
11.1,589.602,8.7209,1822.68,8.7209,1822.68
11.12,738.299,8.7429,1857.549,8.7429,1857.549
11.14,959.377,8.7649,1865.547,8.7649,1865.547
11.16,1311.18,8.7869,1864.429,8.7869,1864.429
11.18,1894.08,8.8089,1821.709,8.8089,1821.709
11.2,2844.39,8.8309,1905.797,8.8309,1905.797
11.22,4264.83,8.8529,1890.987,8.8529,1890.987
11.24,5947.02,8.8749,1881.33,8.8749,1881.33
11.26,6860.97,8.8969,1826.786,8.8969,1826.786
11.28,6129.95,8.9189,1880.595,8.9189,1880.595
11.3,4735.18,8.9409,1864.85,8.9409,1864.85
11.32,3751.48,8.9629,1835.365,8.9629,1835.365
11.34,3474.1,8.9849,1920.73,8.9849,1920.73
11.36,3910.12,9.0069,1909.195,9.0069,1909.195
11.38,4913.2,9.0289,1907.921,9.0289,1907.921
11.4,5884.0,9.0509,1924.796,9.0509,1924.796
11.42,5768.86,9.0729,1892.91,9.0729,1892.91
11.44,4511.74,9.0949,1843.114,9.0949,1843.114
11.46,3111.21,9.1169,1865.25,9.1169,1865.25
11.48,2077.12,9.1389,1813.938,9.1389,1813.938
11.5,1416.47,9.1609,1832.892,9.1609,1832.892
11.52,1014.75,9.1829,1953.78,9.1829,1953.78
11.54,767.171,9.2049,1922.499,9.2049,1922.499
11.56,605.571,9.2269,1948.724,9.2269,1948.724
11.58,492.784,9.2489,1967.368,9.2489,1967.368
11.6,409.857,9.2709,1889.513,9.2709,1889.513
11.62,346.691,9.2929,1913.702,9.2929,1913.702
11.64,297.35,9.3149,1893.904,9.3149,1893.904
11.66,258.029,9.3369,1868.327,9.3369,1868.327
11.68,226.162,9.3589,1862.732,9.3589,1862.732
11.7,199.96,9.3809,1949.535,9.3809,1949.535
11.72,178.14,9.4029,1913.923,9.4029,1913.923
11.74,159.766,9.4249,1893.038,9.4249,1893.038
11.76,144.142,9.4469,1852.853,9.4469,1852.853
11.78,130.737,9.4689,1872.333,9.4689,1872.333
11.8,119.147,9.4909,1916.674,9.4909,1916.674
11.82,109.055,9.5129,1913.459,9.5129,1913.459
11.84,100.21,9.5349,1947.035,9.5349,1947.035
11.86,92.4123,9.5569,1962.986,9.5569,1962.986
11.88,85.502,9.5789,1964.397,9.5789,1964.397
11.9,79.3477,9.6009,1878.693,9.6009,1878.693
11.92,73.8421,9.6229,1905.274,9.6229,1905.274
11.94,68.8962,9.6449,1923.925,9.6449,1923.925
11.96,64.436,9.6669,1961.991,9.6669,1961.991
11.98,60.3995,9.6889,1971.525,9.6889,1971.525
12.0,56.7341,9.7109,2000.734,9.7109,2000.734
12.02,53.3954,9.7329,2054.699,9.7329,2054.699
12.04,50.3455,9.7549,1993.426,9.7549,1993.426
12.06,47.5516,9.7769,2011.58,9.7769,2011.58
12.08,44.9857,9.7989,1978.534,9.7989,1978.534
12.1,42.6235,9.8209,1972.242,9.8209,1972.242
12.12,40.4439,9.8429,2040.385,9.8429,2040.385
12.14,38.4284,9.8649,2023.459,9.8649,2023.459
12.16,36.5609,9.8869,1985.603,9.8869,1985.603
12.18,34.827,9.9089,2015.037,9.9089,2015.037
12.2,33.2144,9.9309,2047.973,9.9309,2047.973
12.22,31.7118,9.9529,2045.444,9.9529,2045.444
12.24,30.3095,9.9749,2041.494,9.9749,2041.494
12.26,28.9987,9.9969,2056.233,9.9969,2056.233
12.28,27.7715,10.0189,2142.357,10.0189,2142.357
12.3,26.621,10.0409,2174.945,10.0409,2174.945
12.32,25.5408,10.0629,2122.994,10.0629,2122.994
12.34,24.5254,10.0849,2094.862,10.0849,2094.862
12.36,23.5696,10.1069,2054.492,10.1069,2054.492
12.38,22.6688,10.1289,2070.235,10.1289,2070.235
12.4,21.8189,10.1509,2093.0,10.1509,2093.0
