№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
403	10.8549	9211.0990			95.9745	8.1440	97.9200
404	10.8769	6422.0360			80.1376	8.1276	97.9200
405	10.8989	4489.1830			67.0014	8.1112	97.9200
406	10.9209	3405.0740			58.3530	8.0949	97.9200
407	10.9429	2832.4570			53.2208	8.0787	97.9200
408	10.9649	2584.5450			50.8384	8.0625	97.9200
409	10.9869	2397.6990			48.9663	8.0464	97.9200
410	11.0089	2243.2970			47.3635	8.0304	97.9200
411	11.0309	2220.2810			47.1199	8.0144	97.9200
412	11.0529	2270.6310			47.6511	7.9985	97.9200
413	11.0749	2168.4850			46.5670	7.9827	97.9200
414	11.0969	2115.0190			45.9893	7.9669	97.9200
415	11.1189	2088.8760			45.7042	7.9512	97.9200
416	11.1409	2070.0240			45.4975	7.9356	97.9200
417	11.1629	2104.8020			45.8781	7.9200	97.9200
418	11.1849	2168.7580			46.5699	7.9044	97.9200
419	11.2069	2170.7920			46.5918	7.8890	97.9200
420	11.2289	2053.7030			45.3178	7.8736	97.9200
421	11.2509	2016.0890			44.9009	7.8582	97.9200
422	11.2729	2093.1270			45.7507	7.8429	97.9200
423	11.2949	2083.2080			45.6422	7.8277	97.9200
424	11.3169	2056.2080			45.3454	7.8125	97.9200
425	11.3389	2050.4800			45.2822	7.7974	97.9200
426	11.3609	2056.4470			45.3481	7.7824	97.9200
427	11.3829	2022.3660			44.9707	7.7674	97.9200
428	11.4049	1918.4210			43.7998	7.7525	97.9200
429	11.4269	1983.2260			44.5334	7.7376	97.9200
430	11.4489	2075.5490			45.5582	7.7228	97.9200
431	11.4709	2065.6250			45.4492	7.7080	97.9200
432	11.4929	2001.7590			44.7410	7.6933	97.9200
433	11.5149	2025.6990			45.0078	7.6786	97.9200
434	11.5369	2024.6960			44.9966	7.6640	97.9200
435	11.5589	1967.0120			44.3510	7.6495	97.9200
436	11.5809	2012.4340			44.8602	7.6350	97.9200
437	11.6029	2054.2880			45.3243	7.6206	97.9200
438	11.6249	1965.1390			44.3299	7.6062	97.9200
439	11.6469	1932.4450			43.9596	7.5919	97.9200
440	11.6689	2003.1840			44.7569	7.5776	97.9200
441	11.6909	2024.6150			44.9957	7.5634	97.9200
442	11.7129	1992.0840			44.6328	7.5493	97.9200
443	11.7349	1959.5100			44.2664	7.5352	97.9200
444	11.7569	1967.4630			44.3561	7.5211	97.9200
445	11.7789	1997.6020			44.6945	7.5071	97.9200
446	11.8009	1990.2190			44.6119	7.4932	97.9200
447	11.8229	1970.4450			44.3897	7.4793	97.9200
448	11.8449	1941.3660			44.0609	7.4654	97.9200
449	11.8669	1943.9280			44.0900	7.4516	97.9200
450	11.8889	1961.4400			44.2881	7.4379	97.9200
451	11.9109	1928.9470			43.9198	7.4242	97.9200
452	11.9329	1959.1780			44.2626	7.4106	97.9200
453	11.9549	1996.8890			44.6866	7.3970	97.9200
454	11.9769	1998.8390			44.7084	7.3835	97.9200
