№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
1169	27.7069	2361.9480			48.5999	3.2171	97.9200
1170	27.7289	2353.5070			48.5130	3.2146	97.9200
1171	27.7509	2469.4250			49.6933	3.2121	97.9200
1172	27.7729	2480.5770			49.8054	3.2096	97.9200
1173	27.7949	2398.8250			48.9778	3.2071	97.9200
1174	27.8169	2411.2260			49.1042	3.2046	97.9200
1175	27.8389	2445.2820			49.4498	3.2021	97.9200
1176	27.8609	2534.5640			50.3444	3.1997	97.9200
1177	27.8829	2565.7230			50.6530	3.1972	97.9200
1178	27.9049	2557.7370			50.5741	3.1947	97.9200
1179	27.9269	2527.9440			50.2787	3.1923	97.9200
1180	27.9489	2532.7170			50.3261	3.1898	97.9200
1181	27.9709	2483.5520			49.8353	3.1873	97.9200
1182	27.9929	2400.9490			48.9995	3.1849	97.9200
1183	28.0149	2369.7430			48.6800	3.1824	97.9200
1184	28.0369	2402.9270			49.0197	3.1800	97.9200
1185	28.0589	2431.5000			49.3102	3.1775	97.9200
1186	28.0809	2449.5500			49.4929	3.1751	97.9200
1187	28.1029	2431.9050			49.3144	3.1727	97.9200
1188	28.1249	2439.9580			49.3959	3.1702	97.9200
1189	28.1469	2474.6280			49.7456	3.1678	97.9200
1190	28.1689	2482.8420			49.8281	3.1654	97.9200
1191	28.1909	2552.8990			50.5262	3.1630	97.9200
1192	28.2129	2662.3350			51.5978	3.1605	97.9200
1193	28.2349	2730.9430			52.2584	3.1581	97.9200
1194	28.2569	2826.5870			53.1657	3.1557	97.9200
1195	28.2789	2952.1150			54.3334	3.1533	97.9200
1196	28.3009	2990.9370			54.6895	3.1509	97.9200
1197	28.3229	3183.9280			56.4263	3.1485	97.9200
1198	28.3449	3344.6510			57.8330	3.1461	97.9200
1199	28.3669	3612.2470			60.1020	3.1437	97.9200
1200	28.3889	4063.1170			63.7426	3.1413	97.9200
1201	28.4109	4544.1540			67.4103	3.1390	97.9200
1202	28.4329	4971.9530			70.5121	3.1366	97.9200
1203	28.4549	5438.8990			73.7489	3.1342	97.9200
1204	28.4769	5920.4150			76.9442	3.1318	97.9200
1205	28.4989	6134.5780			78.3235	3.1295	97.9200
1206	28.5209	5984.6420			77.3605	3.1271	97.9200
1207	28.5429	5349.6090			73.1410	3.1247	97.9200
1208	28.5649	4815.2080			69.3917	3.1224	97.9200
1209	28.5869	4193.3880			64.7564	3.1200	97.9200
1210	28.6089	3760.6450			61.3241	3.1177	97.9200
1211	28.6309	3184.4390			56.4308	3.1153	97.9200
1212	28.6529	2876.2700			53.6309	3.1130	97.9200
1213	28.6749	2723.1440			52.1838	3.1107	97.9200
1214	28.6969	2752.6340			52.4656	3.1083	97.9200
1215	28.7189	2586.5520			50.8582	3.1060	97.9200
1216	28.7409	2630.8190			51.2915	3.1037	97.9200
1217	28.7629	2481.7610			49.8173	3.1013	97.9200
1218	28.7849	2467.2510			49.6714	3.0990	97.9200
1219	28.8069	2436.9140			49.3651	3.0967	97.9200
1220	28.8289	2354.4280			48.5224	3.0944	97.9200
1221	28.8509	2351.0100			48.4872	3.0921	97.9200
1222	28.8729	2418.1070			49.1743	3.0898	97.9200
1223	28.8949	2300.3600			47.9621	3.0875	97.9200
1224	28.9169	2415.2200			49.1449	3.0852	97.9200
1225	28.9389	2328.6100			48.2557	3.0829	97.9200
1226	28.9609	2278.8090			47.7369	3.0806	97.9200
1227	28.9829	2311.1340			48.0743	3.0783	97.9200
1228	29.0049	2340.0000			48.3735	3.0760	97.9200
1229	29.0269	2329.7240			48.2672	3.0737	97.9200
1230	29.0489	2243.6360			47.3670	3.0715	97.9200
1231	29.0709	2354.1620			48.5197	3.0692	97.9200
1232	29.0929	2320.9970			48.1767	3.0669	97.9200
1233	29.1149	2329.5940			48.2659	3.0646	97.9200
1234	29.1369	2263.4780			47.5760	3.0624	97.9200
1235	29.1589	2281.5130			47.7652	3.0601	97.9200
1236	29.1809	2304.3590			48.0037	3.0579	97.9200
1237	29.2029	2299.4810			47.9529	3.0556	97.9200
1238	29.2249	2264.0430			47.5820	3.0534	97.9200
1239	29.2469	2245.5470			47.3872	3.0511	97.9200
1240	29.2689	2310.2040			48.0646	3.0489	97.9200
1241	29.2909	2348.5000			48.4613	3.0466	97.9200
1242	29.3129	2260.4420			47.5441	3.0444	97.9200
1243	29.3349	2281.5140			47.7652	3.0422	97.9200
1244	29.3569	2377.8330			48.7630	3.0399	97.9200
1245	29.3789	2388.1220			48.8684	3.0377	97.9200
1246	29.4009	2410.7210			49.0991	3.0355	97.9200
1247	29.4229	2399.3790			48.9835	3.0333	97.9200
1248	29.4449	2371.7890			48.7010	3.0310	97.9200
1249	29.4669	2390.2680			48.8904	3.0288	97.9200
1250	29.4889	2424.8320			49.2426	3.0266	97.9200
1251	29.5109	2497.2700			49.9727	3.0244	97.9200
1252	29.5329	2471.6990			49.7162	3.0222	97.9200
1253	29.5549	2420.8610			49.2022	3.0200	97.9200
1254	29.5769	2406.4350			49.0554	3.0178	97.9200
1255	29.5989	2434.1090			49.3367	3.0156	97.9200
1256	29.6209	2412.5640			49.1179	3.0134	97.9200
1257	29.6429	2415.6910			49.1497	3.0112	97.9200
1258	29.6649	2447.3010			49.4702	3.0091	97.9200
1259	29.6869	2425.0520			49.2448	3.0069	97.9200
1260	29.7089	2363.1470			48.6122	3.0047	97.9200
1261	29.7309	2369.1330			48.6737	3.0025	97.9200
1262	29.7529	2408.0270			49.0717	3.0004	97.9200
1263	29.7749	2458.4250			49.5825	2.9982	97.9200
1264	29.7969	2478.1120			49.7806	2.9960	97.9200
1265	29.8189	2468.9380			49.6884	2.9939	97.9200
1266	29.8409	2527.4390			50.2736	2.9917	97.9200
1267	29.8629	2687.2720			51.8389	2.9896	97.9200
1268	29.8849	2760.6430			52.5418	2.9874	97.9200
1269	29.9069	2804.1110			52.9539	2.9853	97.9200
1270	29.9289	2879.0750			53.6570	2.9831	97.9200
1271	29.9509	3008.3450			54.8484	2.9810	97.9200
1272	29.9729	3146.7900			56.0963	2.9788	97.9200
1273	29.9949	3301.5250			57.4589	2.9767	97.9200
1274	30.0169	3356.6560			57.9367	2.9746	97.9200
1275	30.0389	3279.1910			57.2642	2.9724	97.9200
1276	30.0609	3244.0130			56.9562	2.9703	97.9200
1277	30.0829	3145.9090			56.0884	2.9682	97.9200
1278	30.1049	2981.0390			54.5989	2.9661	97.9200
1279	30.1269	2861.0350			53.4886	2.9640	97.9200
1280	30.1489	2833.7200			53.2327	2.9618	97.9200
1281	30.1709	2916.7780			54.0072	2.9597	97.9200
1282	30.1929	2979.7730			54.5873	2.9576	97.9200
1283	30.2149	3046.2710			55.1930	2.9555	97.9200
1284	30.2369	3180.1830			56.3931	2.9534	97.9200
1285	30.2589	3298.6430			57.4338	2.9513	97.9200
1286	30.2809	3530.8230			59.4207	2.9492	97.9200
1287	30.3029	3798.6680			61.6333	2.9471	97.9200
1288	30.3249	4025.9960			63.4507	2.9451	97.9200
1289	30.3469	4058.3530			63.7052	2.9430	97.9200
1290	30.3689	4127.8260			64.2482	2.9409	97.9200
1291	30.3909	4004.1260			63.2782	2.9388	97.9200
1292	30.4129	3953.2320			62.8747	2.9367	97.9200
1293	30.4349	4067.8060			63.7794	2.9347	97.9200
1294	30.4569	4174.1260			64.6075	2.9326	97.9200
1295	30.4789	4346.9280			65.9312	2.9305	97.9200
1296	30.5009	4650.9940			68.1982	2.9285	97.9200
1297	30.5229	5171.3380			71.9120	2.9264	97.9200
1298	30.5449	5347.4000			73.1259	2.9243	97.9200
1299	30.5669	5467.5930			73.9432	2.9223	97.9200
1300	30.5889	5097.1950			71.3946	2.9202	97.9200
1301	30.6109	4738.6350			68.8377	2.9182	97.9200
1302	30.6329	4368.4180			66.0940	2.9161	97.9200
1303	30.6549	3985.6870			63.1323	2.9141	97.9200
1304	30.6769	3873.5060			62.2375	2.9121	97.9200
1305	30.6989	3447.4190			58.7147	2.9100	97.9200
1306	30.7209	3218.4250			56.7312	2.9080	97.9200
1307	30.7429	3301.5730			57.4593	2.9060	97.9200
1308	30.7649	3314.7050			57.5735	2.9039	97.9200
1309	30.7869	3367.6520			58.0315	2.9019	97.9200
1310	30.8089	3543.7470			59.5294	2.8999	97.9200
1311	30.8309	3664.6080			60.5360	2.8979	97.9200
1312	30.8529	3645.4690			60.3777	2.8959	97.9200
1313	30.8749	3426.3100			58.5347	2.8938	97.9200
1314	30.8969	3220.5990			56.7503	2.8918	97.9200
1315	30.9189	3118.7960			55.8462	2.8898	97.9200
1316	30.9409	3006.0730			54.8277	2.8878	97.9200
1317	30.9629	2937.8470			54.2019	2.8858	97.9200
1318	30.9849	2823.8450			53.1399	2.8838	97.9200
1319	31.0069	2657.8430			51.5543	2.8818	97.9200
1320	31.0289	2567.0930			50.6665	2.8798	97.9200
1321	31.0509	2547.8940			50.4767	2.8778	97.9200
1322	31.0729	2499.3780			49.9938	2.8758	97.9200
1323	31.0949	2489.9410			49.8993	2.8739	97.9200
1324	31.1169	2487.1010			49.8708	2.8719	97.9200
1325	31.1389	2379.1870			48.7769	2.8699	97.9200
1326	31.1609	2365.5760			48.6372	2.8679	97.9200
1327	31.1829	2334.5780			48.3175	2.8660	97.9200
1328	31.2049	2370.7260			48.6901	2.8640	97.9200
1329	31.2269	2364.8050			48.6293	2.8620	97.9200
1330	31.2489	2401.4410			49.0045	2.8601	97.9200
1331	31.2709	2502.0650			50.0206	2.8581	97.9200
1332	31.2929	2549.6850			50.4944	2.8561	97.9200
1333	31.3149	2491.9650			49.9196	2.8542	97.9200
1334	31.3369	2555.9830			50.5567	2.8522	97.9200
1335	31.3589	2570.0190			50.6954	2.8503	97.9200
1336	31.3809	2659.7420			51.5727	2.8483	97.9200
1337	31.4029	2806.2050			52.9736	2.8464	97.9200
1338	31.4249	2819.1020			53.0952	2.8444	97.9200
1339	31.4469	2898.6320			53.8389	2.8425	97.9200
1340	31.4689	3071.2850			55.4192	2.8406	97.9200
1341	31.4909	3301.4040			57.4578	2.8386	97.9200
1342	31.5129	3594.9520			59.9579	2.8367	97.9200
1343	31.5349	3882.8080			62.3122	2.8348	97.9200
1344	31.5569	4233.6160			65.0662	2.8328	97.9200
1345	31.5789	4680.5880			68.4148	2.8309	97.9200
1346	31.6009	5169.1950			71.8971	2.8290	97.9200
1347	31.6229	5560.9150			74.5715	2.8271	97.9200
1348	31.6449	5947.8820			77.1225	2.8252	97.9200
1349	31.6669	6175.1000			78.5818	2.8232	97.9200
1350	31.6889	6072.1000			77.9237	2.8213	97.9200
1351	31.7109	5597.1580			74.8142	2.8194	97.9200
1352	31.7329	5142.5420			71.7115	2.8175	97.9200
1353	31.7549	4692.8100			68.5041	2.8156	97.9200
1354	31.7769	4189.6980			64.7279	2.8137	97.9200
1355	31.7989	3718.5660			60.9800	2.8118	97.9200
1356	31.8209	3345.5990			57.8412	2.8099	97.9200
1357	31.8429	3053.6660			55.2600	2.8080	97.9200
1358	31.8649	2791.9020			52.8385	2.8062	97.9200
1359	31.8869	2664.6860			51.6206	2.8043	97.9200
1360	31.9089	2591.2340			50.9042	2.8024	97.9200
1361	31.9309	2553.9670			50.5368	2.8005	97.9200
1362	31.9529	2454.8000			49.5459	2.7986	97.9200
1363	31.9749	2437.0300			49.3663	2.7967	97.9200
1364	31.9969	2375.2560			48.7366	2.7949	97.9200
1365	32.0189	2465.4550			49.6533	2.7930	97.9200
1366	32.0409	2364.7520			48.6287	2.7911	97.9200
1367	32.0629	2397.0620			48.9598	2.7893	97.9200
1368	32.0849	2378.3120			48.7679	2.7874	97.9200
1369	32.1069	2344.5750			48.4208	2.7856	97.9200
1370	32.1289	2313.3800			48.0976	2.7837	97.9200
1371	32.1509	2472.3940			49.7232	2.7818	97.9200
1372	32.1729	2376.3450			48.7478	2.7800	97.9200
1373	32.1949	2332.4170			48.2951	2.7781	97.9200
1374	32.2169	2384.1640			48.8279	2.7763	97.9200
1375	32.2389	2349.3800			48.4704	2.7744	97.9200
1376	32.2609	2397.1120			48.9603	2.7726	97.9200
1377	32.2829	2429.4620			49.2896	2.7708	97.9200
1378	32.3049	2403.3320			49.0238	2.7689	97.9200
1379	32.3269	2577.1700			50.7658	2.7671	97.9200
1380	32.3489	2644.0630			51.4205	2.7653	97.9200
1381	32.3709	2523.9080			50.2385	2.7634	97.9200
1382	32.3929	2714.7630			52.1034	2.7616	97.9200
1383	32.4149	2744.6560			52.3895	2.7598	97.9200
1384	32.4369	2730.0220			52.2496	2.7580	97.9200
1385	32.4589	2852.9750			53.4132	2.7561	97.9200
1386	32.4809	3126.4560			55.9147	2.7543	97.9200
1387	32.5029	3185.4870			56.4401	2.7525	97.9200
1388	32.5249	3124.2010			55.8946	2.7507	97.9200
1389	32.5469	3273.3980			57.2136	2.7489	97.9200
1390	32.5689	3368.9860			58.0430	2.7471	97.9200
1391	32.5909	3524.1220			59.3643	2.7453	97.9200
1392	32.6129	3713.6120			60.9394	2.7435	97.9200
1393	32.6349	4070.1710			63.7979	2.7417	97.9200
1394	32.6569	4229.0960			65.0315	2.7399	97.9200
1395	32.6789	4532.3460			67.3227	2.7381	97.9200
1396	32.7009	4907.6340			70.0545	2.7363	97.9200
1397	32.7229	5312.9470			72.8900	2.7345	97.9200
1398	32.7449	5832.0020			76.3675	2.7327	97.9200
1399	32.7669	6280.7700			79.2513	2.7309	97.9200
1400	32.7889	6203.9870			78.7654	2.7292	97.9200
1401	32.8109	5955.1800			77.1698	2.7274	97.9200
1402	32.8329	5551.0490			74.5054	2.7256	97.9200
1403	32.8549	5188.7200			72.0328	2.7238	97.9200
1404	32.8769	4807.8880			69.3389	2.7221	97.9200
1405	32.8989	4138.8920			64.3342	2.7203	97.9200
1406	32.9209	3636.0020			60.2993	2.7185	97.9200
1407	32.9429	3336.4170			57.7617	2.7167	97.9200
1408	32.9649	3046.6830			55.1968	2.7150	97.9200
1409	32.9869	2917.5400			54.0143	2.7132	97.9200
1410	33.0089	2699.5960			51.9576	2.7115	97.9200
1411	33.0309	2621.9880			51.2054	2.7097	97.9200
1412	33.0529	2576.0710			50.7550	2.7080	97.9200
1413	33.0749	2558.7810			50.5844	2.7062	97.9200
1414	33.0969	2450.6280			49.5038	2.7045	97.9200
1415	33.1189	2458.6070			49.5843	2.7027	97.9200
1416	33.1409	2431.0120			49.3053	2.7010	97.9200
1417	33.1629	2454.2950			49.5408	2.6992	97.9200
1418	33.1849	2435.5190			49.3510	2.6975	97.9200
1419	33.2069	2371.1370			48.6943	2.6957	97.9200
1420	33.2289	2358.7890			48.5674	2.6940	97.9200
1421	33.2509	2354.6020			48.5242	2.6923	97.9200
1422	33.2729	2372.8340			48.7117	2.6906	97.9200
1423	33.2949	2365.6100			48.6375	2.6888	97.9200
1424	33.3169	2290.2750			47.8568	2.6871	97.9200
1425	33.3389	2346.8470			48.4443	2.6854	97.9200
1426	33.3609	2392.8070			48.9163	2.6837	97.9200
1427	33.3829	2365.7840			48.6393	2.6819	97.9200
1428	33.4049	2401.9110			49.0093	2.6802	97.9200
1429	33.4269	2397.3860			48.9631	2.6785	97.9200
1430	33.4489	2382.3540			48.8094	2.6768	97.9200
1431	33.4709	2386.9330			48.8562	2.6751	97.9200
1432	33.4929	2372.1730			48.7050	2.6734	97.9200
1433	33.5149	2390.6320			48.8941	2.6717	97.9200
1434	33.5369	2471.9870			49.7191	2.6700	97.9200
1435	33.5589	2414.8170			49.1408	2.6683	97.9200
1436	33.5809	2471.4170			49.7133	2.6666	97.9200
1437	33.6029	2460.3050			49.6015	2.6649	97.9200
1438	33.6249	2481.2510			49.8122	2.6632	97.9200
1439	33.6469	2579.1040			50.7849	2.6615	97.9200
1440	33.6689	2661.1380			51.5862	2.6598	97.9200
1441	33.6909	2758.8060			52.5243	2.6581	97.9200
1442	33.7129	2852.8930			53.4125	2.6564	97.9200
1443	33.7349	2989.4500			54.6759	2.6548	97.9200
1444	33.7569	3131.3590			55.9585	2.6531	97.9200
1445	33.7789	3250.0590			57.0093	2.6514	97.9200
1446	33.8009	3412.6210			58.4176	2.6497	97.9200
1447	33.8229	3596.4340			59.9703	2.6480	97.9200
1448	33.8449	3994.4600			63.2017	2.6464	97.9200
1449	33.8669	4346.3850			65.9271	2.6447	97.9200
1450	33.8889	4608.5760			67.8865	2.6430	97.9200
1451	33.9109	4719.1180			68.6958	2.6414	97.9200
1452	33.9329	4661.2490			68.2733	2.6397	97.9200
1453	33.9549	4616.5220			67.9450	2.6381	97.9200
1454	33.9769	4752.7190			68.9400	2.6364	97.9200
1455	33.9989	4918.0040			70.1285	2.6347	97.9200
1456	34.0209	5053.8530			71.0905	2.6331	97.9200
1457	34.0429	4817.2870			69.4067	2.6314	97.9200
1458	34.0649	4646.3420			68.1641	2.6298	97.9200
1459	34.0869	4487.5040			66.9888	2.6281	97.9200
1460	34.1089	4530.0260			67.3055	2.6265	97.9200
1461	34.1309	4489.5880			67.0044	2.6249	97.9200
1462	34.1529	4431.4810			66.5694	2.6232	97.9200
1463	34.1749	4586.0620			67.7205	2.6216	97.9200
1464	34.1969	4620.4540			67.9739	2.6199	97.9200
1465	34.2189	4718.4220			68.6908	2.6183	97.9200
1466	34.2409	4883.9170			69.8850	2.6167	97.9200
1467	34.2629	4865.8060			69.7553	2.6150	97.9200
1468	34.2849	4593.2170			67.7733	2.6134	97.9200
1469	34.3069	4598.3990			67.8115	2.6118	97.9200
1470	34.3289	4574.0560			67.6318	2.6102	97.9200
1471	34.3509	4761.7960			69.0058	2.6085	97.9200
1472	34.3729	4775.9900			69.1085	2.6069	97.9200
1473	34.3949	4993.2760			70.6631	2.6053	97.9200
1474	34.4169	5241.3220			72.3970	2.6037	97.9200
1475	34.4389	5505.1060			74.1964	2.6021	97.9200
1476	34.4609	5584.7340			74.7311	2.6005	97.9200
1477	34.4829	5394.8220			73.4495	2.5989	97.9200
1478	34.5049	4973.9850			70.5265	2.5973	97.9200
1479	34.5269	4634.2600			68.0754	2.5956	97.9200
1480	34.5489	4399.6860			66.3301	2.5940	97.9200
1481	34.5709	3987.5690			63.1472	2.5924	97.9200
1482	34.5929	3659.0340			60.4900	2.5908	97.9200
1483	34.6149	3416.3620			58.4497	2.5893	97.9200
1484	34.6369	3171.3130			56.3144	2.5877	97.9200
1485	34.6589	2889.5530			53.7546	2.5861	97.9200
1486	34.6809	2926.9510			54.1013	2.5845	97.9200
1487	34.7029	2821.7680			53.1203	2.5829	97.9200
1488	34.7249	2828.5450			53.1841	2.5813	97.9200
1489	34.7469	2872.6640			53.5972	2.5797	97.9200
1490	34.7689	2874.9590			53.6186	2.5781	97.9200
1491	34.7909	2931.0350			54.1390	2.5766	97.9200
1492	34.8129	3028.4190			55.0311	2.5750	97.9200
1493	34.8349	3088.6610			55.5757	2.5734	97.9200
1494	34.8569	2995.6770			54.7328	2.5718	97.9200
1495	34.8789	2906.9110			53.9158	2.5703	97.9200
1496	34.9009	2900.8740			53.8598	2.5687	97.9200
1497	34.9229	2830.8510			53.2057	2.5671	97.9200
1498	34.9449	2738.9940			52.3354	2.5656	97.9200
1499	34.9669	2664.4800			51.6186	2.5640	97.9200
1500	34.9889	2564.7600			50.6435	2.5624	97.9200
1501	35.0109	2606.1680			51.0506	2.5609	97.9200
1502	35.0329	2602.2890			51.0126	2.5593	97.9200
1503	35.0549	2592.6840			50.9184	2.5578	97.9200
1504	35.0769	2626.2520			51.2470	2.5562	97.9200
1505	35.0989	2623.3130			51.2183	2.5546	97.9200
1506	35.1209	2556.1490			50.5584	2.5531	97.9200
1507	35.1429	2555.2540			50.5495	2.5515	97.9200
1508	35.1649	2588.9100			50.8813	2.5500	97.9200
1509	35.1869	2565.6040			50.6518	2.5485	97.9200
1510	35.2089	2525.1120			50.2505	2.5469	97.9200
1511	35.2309	2517.0710			50.1704	2.5454	97.9200
1512	35.2529	2484.9750			49.8495	2.5438	97.9200
1513	35.2749	2474.2740			49.7421	2.5423	97.9200
1514	35.2969	2456.3930			49.5620	2.5408	97.9200
1515	35.3189	2486.7360			49.8672	2.5392	97.9200
1516	35.3409	2590.7880			50.8998	2.5377	97.9200
1517	35.3629	2616.9030			51.1557	2.5362	97.9200
1518	35.3849	2684.4630			51.8118	2.5347	97.9200
1519	35.4069	2802.6490			52.9401	2.5331	97.9200
1520	35.4289	2911.6920			53.9601	2.5316	97.9200
1521	35.4509	3082.4800			55.5201	2.5301	97.9200
1522	35.4729	3167.5350			56.2809	2.5286	97.9200
1523	35.4949	3251.9400			57.0258	2.5270	97.9200
1524	35.5169	3231.9310			56.8501	2.5255	97.9200
1525	35.5389	3050.3240			55.2297	2.5240	97.9200
1526	35.5609	2873.4710			53.6048	2.5225	97.9200
1527	35.5829	2855.6840			53.4386	2.5210	97.9200
1528	35.6049	2746.9660			52.4115	2.5195	97.9200
1529	35.6269	2642.5150			51.4054	2.5180	97.9200
1530	35.6489	2610.3120			51.0912	2.5165	97.9200
1531	35.6709	2564.3180			50.6391	2.5150	97.9200
1532	35.6929	2491.0450			49.9104	2.5135	97.9200
1533	35.7149	2562.4790			50.6209	2.5120	97.9200
1534	35.7369	2548.8390			50.4860	2.5105	97.9200
1535	35.7589	2727.5670			52.2261	2.5090	97.9200
1536	35.7809	2797.1380			52.8880	2.5075	97.9200
1537	35.8029	2901.4550			53.8652	2.5060	97.9200
1538	35.8249	3071.8780			55.4245	2.5045	97.9200
1539	35.8469	3297.0300			57.4198	2.5030	97.9200
1540	35.8689	3351.0580			57.8883	2.5016	97.9200
1541	35.8909	3560.9940			59.6741	2.5001	97.9200
1542	35.9129	3620.2640			60.1686	2.4986	97.9200
1543	35.9349	3682.0740			60.6801	2.4971	97.9200
1544	35.9569	3517.0730			59.3049	2.4956	97.9200
1545	35.9789	3462.1310			58.8399	2.4942	97.9200
1546	36.0009	3130.4470			55.9504	2.4927	97.9200
1547	36.0229	3117.8190			55.8374	2.4912	97.9200
1548	36.0449	3023.5330			54.9867	2.4897	97.9200
1549	36.0669	2847.2650			53.3598	2.4883	97.9200
1550	36.0889	2630.0860			51.2844	2.4868	97.9200
1551	36.1109	2455.8300			49.5563	2.4853	97.9200
1552	36.1329	2393.1950			48.9203	2.4839	97.9200
1553	36.1549	2332.9870			48.3010	2.4824	97.9200
1554	36.1769	2279.6880			47.7461	2.4810	97.9200
1555	36.1989	2245.5310			47.3870	2.4795	97.9200
1556	36.2209	2333.0190			48.3013	2.4780	97.9200
1557	36.2429	2277.5000			47.7232	2.4766	97.9200
1558	36.2649	2270.7080			47.6519	2.4751	97.9200
1559	36.2869	2249.1030			47.4247	2.4737	97.9200
1560	36.3089	2245.7790			47.3897	2.4722	97.9200
1561	36.3309	2238.1180			47.3087	2.4708	97.9200
1562	36.3529	2164.3350			46.5224	2.4693	97.9200
1563	36.3749	2206.1020			46.9692	2.4679	97.9200
1564	36.3969	2265.7420			47.5998	2.4665	97.9200
1565	36.4189	2269.5270			47.6396	2.4650	97.9200
1566	36.4409	2254.3000			47.4795	2.4636	97.9200
1567	36.4629	2273.0440			47.6765	2.4622	97.9200
1568	36.4849	2262.4210			47.5649	2.4607	97.9200
1569	36.5069	2255.6620			47.4938	2.4593	97.9200
1570	36.5289	2244.4220			47.3753	2.4579	97.9200
1571	36.5509	2342.1400			48.3957	2.4564	97.9200
1572	36.5729	2338.2570			48.3555	2.4550	97.9200
1573	36.5949	2373.4720			48.7183	2.4536	97.9200
1574	36.6169	2423.3340			49.2274	2.4521	97.9200
1575	36.6389	2441.9980			49.4166	2.4507	97.9200
1576	36.6609	2479.2260			49.7918	2.4493	97.9200
1577	36.6829	2461.6460			49.6150	2.4479	97.9200
1578	36.7049	2407.0630			49.0618	2.4465	97.9200
1579	36.7269	2360.8640			48.5887	2.4451	97.9200
1580	36.7489	2351.0470			48.4876	2.4436	97.9200
1581	36.7709	2370.8850			48.6917	2.4422	97.9200
1582	36.7929	2309.8090			48.0605	2.4408	97.9200
1583	36.8149	2275.6670			47.7039	2.4394	97.9200
1584	36.8369	2315.4430			48.1190	2.4380	97.9200
1585	36.8589	2310.6100			48.0688	2.4366	97.9200
1586	36.8809	2248.8260			47.4218	2.4352	97.9200
1587	36.9029	2193.2430			46.8321	2.4338	97.9200
1588	36.9249	2196.2600			46.8643	2.4324	97.9200
1589	36.9469	2210.2270			47.0131	2.4310	97.9200
1590	36.9689	2207.2440			46.9813	2.4296	97.9200
1591	36.9909	2213.7140			47.0501	2.4282	97.9200
1592	37.0129	2222.1060			47.1392	2.4268	97.9200
1593	37.0349	2210.5470			47.0165	2.4254	97.9200
1594	37.0569	2251.9070			47.4543	2.4240	97.9200
1595	37.0789	2275.6100			47.7033	2.4226	97.9200
1596	37.1009	2294.6070			47.9021	2.4213	97.9200
1597	37.1229	2278.2420			47.7309	2.4199	97.9200
1598	37.1449	2205.0660			46.9581	2.4185	97.9200
1599	37.1669	2235.2640			47.2786	2.4171	97.9200
1600	37.1889	2262.4660			47.5654	2.4157	97.9200
1601	37.2109	2323.5720			48.2034	2.4144	97.9200
1602	37.2329	2184.4720			46.7383	2.4130	97.9200
1603	37.2549	2191.3540			46.8119	2.4116	97.9200
1604	37.2769	2240.8360			47.3375	2.4102	97.9200
1605	37.2989	2252.1490			47.4568	2.4089	97.9200
1606	37.3209	2252.8190			47.4639	2.4075	97.9200
1607	37.3429	2175.0990			46.6380	2.4061	97.9200
1608	37.3649	2168.2970			46.5650	2.4048	97.9200
1609	37.3869	2157.4280			46.4481	2.4034	97.9200
1610	37.4089	2249.0380			47.4240	2.4020	97.9200
1611	37.4309	2218.6440			47.1025	2.4007	97.9200
1612	37.4529	2234.2350			47.2677	2.3993	97.9200
1613	37.4749	2246.0660			47.3927	2.3980	97.9200
1614	37.4969	2245.3490			47.3851	2.3966	97.9200
1615	37.5189	2283.5370			47.7864	2.3952	97.9200
1616	37.5409	2222.1460			47.1396	2.3939	97.9200
1617	37.5629	2243.6310			47.3670	2.3925	97.9200
1618	37.5849	2361.8280			48.5986	2.3912	97.9200
1619	37.6069	2352.2790			48.5003	2.3898	97.9200
1620	37.6289	2325.6200			48.2247	2.3885	97.9200
1621	37.6509	2324.8230			48.2164	2.3871	97.9200
1622	37.6729	2397.0560			48.9597	2.3858	97.9200
1623	37.6949	2467.5900			49.6748	2.3845	97.9200
1624	37.7169	2469.1550			49.6906	2.3831	97.9200
1625	37.7389	2644.8030			51.4276	2.3818	97.9200
1626	37.7609	2639.3510			51.3746	2.3804	97.9200
1627	37.7829	2637.0290			51.3520	2.3791	97.9200
1628	37.8049	2837.5060			53.2683	2.3778	97.9200
1629	37.8269	2969.0920			54.4894	2.3764	97.9200
1630	37.8489	3076.5660			55.4668	2.3751	97.9200
1631	37.8709	2968.3800			54.4828	2.3738	97.9200
1632	37.8929	2954.9700			54.3596	2.3725	97.9200
1633	37.9149	3041.9000			55.1534	2.3711	97.9200
1634	37.9369	3130.1540			55.9478	2.3698	97.9200
1635	37.9589	3059.6000			55.3137	2.3685	97.9200
1636	37.9809	3140.2710			56.0381	2.3672	97.9200
1637	38.0029	3328.3820			57.6921	2.3658	97.9200
1638	38.0249	3408.1020			58.3790	2.3645	97.9200
1639	38.0469	3596.9730			59.9748	2.3632	97.9200
1640	38.0689	3577.7400			59.8142	2.3619	97.9200
1641	38.0909	3820.0240			61.8063	2.3606	97.9200
1642	38.1129	3874.5340			62.2458	2.3593	97.9200
1643	38.1349	3876.7910			62.2639	2.3580	97.9200
1644	38.1569	3582.7020			59.8557	2.3566	97.9200
1645	38.1789	3357.2740			57.9420	2.3553	97.9200
1646	38.2009	3274.6220			57.2243	2.3540	97.9200
1647	38.2229	3151.9250			56.1420	2.3527	97.9200
1648	38.2449	2930.6060			54.1351	2.3514	97.9200
